用户id,语音通话整体满意度,网络覆盖与信号强度,语音通话清晰度,语音通话稳定性,是否遇到过网络问题,脱网次数,mos质差次数,未接通掉话次数,4\5G用户,是否关怀用户,套外流量（MB）,是否4G网络客户（本地剔除物联网）,套外流量费（元）,外省语音占比,语音通话-时长（分钟）,省际漫游-时长（分钟）,终端品牌,终端品牌类型,当月ARPU,当月MOU,前3月ARPU,前3月MOU,外省流量占比,GPRS总流量（KB）,GPRS-国内漫游-流量（KB）,是否5G网络客户,客户星级标识,是否投诉,出现问题地点数,出现问题数
1,10,6,6,6,1,0,0,0,5,-1,1816.45,1,250.0,1.0,644.0,644.0,22,0,347.32,644.0,0.0,480.0,1.0,8450801.0,8450801.0,1,4,0,1,2
2,2,1,1,1,1,0,0,0,5,-1,0.0,1,0.0,1.0,902.0,902.0,11,12,111.4,902.0,0.0,480.0,1.0,17425910.0,17425910.0,1,4,0,3,2
3,10,7,7,7,1,0,0,0,4,-1,0.0,1,0.0,1.0,322.0,322.0,11,12,48.0,322.0,0.0,413.0,1.0,6215849.0,6215849.0,-1,3,0,1,2
4,6,7,7,6,1,0,0,0,5,-1,0.0,1,0.0,1.0,139.0,139.0,22,0,49.0,139.0,0.0,301.0,1.0,5370710.0,5370710.0,1,3,0,2,2
5,5,5,4,3,1,0,0,0,4,-1,0.0,1,0.0,1.0,787.0,787.0,22,0,138.1,787.0,0.0,1193.0,1.0,3857521.0,3857521.0,-1,4,0,3,4
6,7,6,6,4,1,0,0,0,4,-1,0.0,1,0.0,1.0,627.0,627.0,22,10,140.09,627.0,0.0,794.0,1.0,31131458.0,31131458.0,-1,4,0,3,4
7,8,7,9,9,1,0,0,0,4,-1,0.0,1,0.0,1.0,334.0,334.0,22,0,60.0,334.0,0.0,306.0,1.0,15342037.0,15342037.0,-1,2,0,3,3
8,10,10,10,10,2,0,2,0,4,-1,0.0,1,0.0,1.0,386.0,386.0,11,12,73.0,386.0,0.0,185.0,1.0,11432042.0,11432042.0,-1,3,0,0,0
9,10,10,10,10,2,0,0,0,4,-1,0.0,1,0.0,1.0,474.0,474.0,17,12,80.36,474.0,0.0,277.0,1.0,5017952.0,5017952.0,-1,3,0,0,0
10,10,8,8,9,1,0,0,0,5,-1,0.0,1,0.0,1.0,43.0,43.0,11,12,29.0,43.0,0.0,233.0,1.0,950128.0,950128.0,1,0,0,4,1
11,4,4,4,4,1,0,0,0,5,-1,0.0,1,0.0,1.0,308.0,308.0,22,0,78.0,308.0,0.0,534.0,1.0,9083517.0,9083517.0,1,3,0,3,5
12,10,10,10,10,1,0,2,0,4,-1,0.0,1,0.0,1.0,182.0,182.0,11,12,43.94,182.0,0.0,192.0,1.0,17584927.0,17584927.0,-1,2,0,2,2
13,10,10,10,10,2,0,0,0,4,-1,43.95,1,10.0,1.0,174.0,174.0,18,12,18.0,174.0,0.0,168.0,1.0,128939.0,128939.0,-1,3,0,0,0
14,8,6,8,7,1,0,0,0,5,-1,137.65,1,14.93,1.0,185.0,185.0,11,12,81.93,185.0,0.0,275.0,1.0,21134232.0,21134232.0,1,3,0,1,1
15,10,10,10,10,2,0,0,0,4,-1,0.0,1,0.0,1.0,131.0,131.0,11,12,100.0,131.0,0.0,88.0,1.0,2877605.0,2877605.0,-1,3,0,0,0
16,10,10,10,10,2,0,0,0,4,-1,0.0,1,0.0,1.0,460.0,460.0,14,12,31.0,460.0,0.0,304.0,1.0,187362.0,187362.0,-1,3,0,0,0
17,10,10,10,10,2,0,0,0,4,-1,0.0,1,0.0,1.0,147.0,147.0,11,12,20.45,147.0,0.0,120.0,1.0,84512.0,84512.0,-1,2,0,0,0
18,9,9,9,6,1,0,0,0,4,-1,0.0,1,0.0,1.0,209.0,209.0,1,12,21.0,209.0,0.0,272.0,1.0,22229413.0,22229413.0,-1,1,0,7,3
19,10,10,10,10,2,0,0,0,5,-1,0.0,1,0.0,1.0,216.0,216.0,22,0,45.0,216.0,0.0,143.0,1.0,4090068.0,4090068.0,1,2,0,0,0
20,10,10,10,9,1,0,0,0,5,-1,0.0,1,0.0,1.0,1032.0,1032.0,11,12,130.0,1032.0,0.0,766.0,1.0,8489371.0,8489371.0,1,4,0,1,1
21,10,10,10,10,2,224,4,0,4,-1,13.83,1,10.0,1.0,102.0,102.0,17,12,41.11,102.0,0.0,386.0,1.0,456367.0,456367.0,-1,2,0,0,0
22,10,9,10,10,2,0,0,0,4,-1,0.0,1,0.0,1.0,122.0,122.0,11,12,56.98,122.0,0.0,250.0,1.0,33512536.0,33512536.0,-1,2,0,0,0
23,10,9,10,8,2,0,0,0,4,-1,0.0,1,0.0,1.0,218.0,218.0,11,12,31.7,218.0,0.0,2679.0,1.0,100557.0,100557.0,-1,2,0,0,0
24,2,1,1,1,1,0,0,0,4,-1,0.0,1,0.0,1.0,279.0,279.0,22,10,62.0,279.0,0.0,590.0,1.0,6256219.0,6256219.0,-1,2,0,1,4
25,10,10,10,10,2,0,0,0,4,-1,0.0,1,0.0,1.0,295.0,295.0,18,12,66.0,295.0,0.0,330.0,1.0,45645300.0,45645300.0,-1,3,0,0,0
26,1,1,1,1,1,0,0,0,4,-1,0.0,1,0.0,1.0,2093.0,2093.0,22,10,211.0,2093.0,0.0,1669.0,1.0,29985114.0,29985114.0,-1,4,0,3,4
27,7,5,7,5,1,0,0,0,5,-1,0.0,1,0.0,1.0,438.0,438.0,11,12,131.6,438.0,0.0,1261.0,1.0,15982740.0,15982740.0,1,4,0,3,3
28,8,7,4,7,2,0,4,0,4,-1,0.0,1,0.0,1.0,89.0,89.0,22,10,39.0,89.0,0.0,182.0,1.0,2198671.0,2198671.0,-1,4,0,0,0
29,9,8,8,9,2,0,2,0,4,-1,0.0,1,0.0,1.0,106.0,106.0,14,12,10.28,106.0,0.0,105.0,1.0,8359319.0,8359319.0,-1,3,0,0,0
30,10,6,8,7,1,26,0,0,4,-1,0.0,1,0.0,1.0,157.0,157.0,14,12,41.56,157.0,0.0,203.0,1.0,18596631.0,18596631.0,-1,3,0,1,1
31,10,7,8,7,1,0,0,0,5,-1,0.0,1,15.0,1.0,469.0,469.0,22,0,44.1,469.0,0.0,625.0,1.0,14043534.0,14043534.0,1,3,0,2,5
32,10,10,10,10,2,0,0,0,4,-1,0.0,1,0.0,1.0,136.0,136.0,11,12,8.0,136.0,0.0,229.0,1.0,62756.0,62756.0,-1,3,0,0,0
33,10,10,10,10,1,0,0,0,4,-1,0.0,1,0.0,1.0,96.0,96.0,22,0,100.0,96.0,0.0,120.0,1.0,3182458.0,3182458.0,-1,4,0,3,1
34,10,10,10,10,2,0,0,0,4,-1,0.0,1,0.0,1.0,66.0,66.0,18,12,18.19,66.0,0.0,68.0,1.0,21028.0,21028.0,-1,3,0,0,0
35,10,9,10,9,2,0,0,0,4,-1,0.0,1,0.0,1.0,172.0,172.0,18,12,35.28,172.0,0.0,132.0,1.0,9782615.0,9782615.0,-1,3,0,0,0
36,10,9,9,9,2,0,0,0,5,-1,0.0,1,0.0,1.0,111.0,111.0,17,12,95.08,111.0,0.0,163.0,1.0,11563171.0,11563171.0,1,2,0,0,0
37,10,10,10,10,2,0,0,0,4,-1,0.0,1,0.0,1.0,476.0,476.0,11,12,105.0,476.0,0.0,885.0,1.0,46851567.0,46851567.0,-1,3,0,0,0
38,10,10,10,10,2,0,0,0,4,-1,0.0,1,0.0,1.0,254.0,254.0,22,10,114.0,254.0,0.0,194.0,1.0,16862062.0,16862062.0,-1,4,0,0,0
39,10,10,10,10,2,0,0,0,4,-1,152.91,1,40.0,1.0,196.0,196.0,17,12,59.48,196.0,0.0,96.0,1.0,1010474.0,1010474.0,-1,3,0,0,0
40,10,10,10,10,1,0,0,0,4,-1,75.93,1,15.8,1.0,219.0,219.0,22,10,64.36,219.0,0.0,389.0,1.0,3959657.0,3959657.0,-1,4,0,1,2
41,10,10,10,10,2,0,0,0,5,-1,0.0,1,0.0,1.0,317.0,317.0,18,12,145.0,317.0,0.0,356.0,1.0,9606789.0,9606789.0,1,4,0,0,0
