用户,手机上网整体满意度,网络覆盖与信号强度,手机上网速度,手机上网稳定性,上网质差次数,脱网次数,微信质差次数,套外流量（MB）,套外流量费（元）,是否不限量套餐到达用户,终端品牌,终端品牌类型,是否5G网络客户,当月MOU,客户星级标识,场景问题次数,现象问题次数,大类问题次数,小类视频问题次数,小类游戏问题次数,全部应用问题次数,性别_女,性别_性别不详,性别_男
用户1,8,7,7,7,0,0,0,0.0,0.0,0,11,17,0,54.0,1,0,0,0,0,0,0,0,0,1
用户2,9,9,8,9,0,0,0,0.0,0.0,0,8,17,0,172.0,-1,1,4,3,0,0,0,0,0,1
用户3,4,3,3,3,0,6,0,0.0,0.0,0,21,1,0,206.0,1,7,2,2,0,0,10,0,1,0
用户4,9,8,8,7,0,0,15,0.0,0.0,0,21,14,0,1930.0,1,1,1,0,0,0,0,0,0,1
用户5,10,10,10,10,0,0,3,0.0,0.0,0,21,14,0,18.0,0,2,2,0,0,0,0,0,0,1
用户6,10,7,9,7,0,0,0,0.0,0.0,0,11,17,1,1160.0,-1,1,1,0,0,0,0,0,0,1
用户7,10,10,10,10,0,0,1,0.0,0.0,0,8,17,1,69.0,0,0,0,0,0,0,0,0,0,1
用户8,8,8,7,9,0,6,0,179.06,5.0,0,21,1,0,409.0,1,3,3,2,0,0,0,0,0,1
用户9,8,8,9,8,0,0,0,0.0,0.0,0,8,17,1,122.0,0,2,1,0,0,0,0,1,0,0
用户10,3,3,3,3,0,0,0,0.0,0.0,0,21,14,0,16.0,0,3,4,2,10,0,0,0,0,1
用户11,2,1,4,4,42,0,0,0.0,0.0,0,21,1,1,4.0,4,3,4,2,0,0,0,0,0,1
用户12,3,7,1,1,0,0,0,0.0,0.0,0,13,17,1,69.0,0,4,2,0,0,0,0,0,0,1
用户13,7,6,7,7,0,6,18,195.07,35.0,0,21,1,0,49.0,2,3,1,0,0,0,0,0,0,1
用户14,9,8,9,8,0,0,0,0.0,0.0,0,21,14,0,232.0,2,0,0,0,0,0,0,0,1,0
用户15,6,5,5,5,1,14,1,0.0,0.0,0,16,17,1,31.0,1,1,1,0,0,0,0,0,0,1
用户16,6,7,5,4,4,0,0,0.0,0.0,0,8,17,0,75.0,-1,2,3,3,10,0,0,0,0,1
用户17,9,8,7,9,0,0,0,0.0,0.0,0,8,17,0,105.0,1,2,3,2,0,0,0,0,0,1
用户18,10,10,10,10,1,0,0,74.26,1.0,0,16,17,1,28.0,1,0,0,0,0,0,0,0,0,1
用户19,2,2,1,2,0,16,5,0.0,0.0,0,11,17,1,2839.0,1,2,1,0,0,0,0,0,1,0
用户20,7,7,8,8,0,0,1,0.0,0.0,0,8,17,1,261.0,1,0,1,0,0,0,0,0,1,0
用户21,9,10,8,8,0,6,0,0.0,0.0,0,11,17,0,351.0,-1,1,1,0,0,0,0,0,0,1
用户22,8,8,8,5,0,9,0,0.0,0.0,0,11,6,1,164.0,5,1,2,0,0,0,0,1,0,0
用户23,8,8,7,7,0,0,2,0.0,0.0,0,8,17,0,88.0,2,2,3,2,0,0,0,1,0,0
用户24,9,9,9,8,0,0,0,0.0,0.0,0,21,1,1,182.0,-1,3,1,0,0,0,0,1,0,0
用户25,8,7,8,9,0,0,0,0.0,0.0,0,21,1,1,237.0,1,2,3,2,0,0,0,0,0,1
用户26,10,10,10,10,0,0,0,0.0,0.0,0,21,1,0,89.0,1,2,2,0,0,0,0,0,0,1
用户27,3,3,3,3,0,54,1,0.0,0.0,0,4,17,0,25.0,-1,4,3,3,10,0,10,0,0,1
用户28,10,10,10,10,4,0,1,0.0,0.0,0,8,17,1,44.0,0,0,4,4,10,10,10,0,0,1
用户29,5,3,5,3,0,0,0,0.0,0.0,0,21,1,1,72.0,4,4,2,1,0,0,0,1,0,0
