用户id,语音通话整体满意度,网络覆盖与信号强度,语音通话清晰度,语音通话稳定性,是否遇到过网络问题,居民小区,办公室,高校,商业街,地铁,农村,高铁,手机没有信号,有信号无法拨通,通话过程中突然中断,通话中有杂音、听不清、断断续续,串线,通话过程中一方听不见,脱网次数,mos质差次数,未接通掉话次数,4\5G用户,是否关怀用户,套外流量（MB）,是否4G网络客户（本地剔除物联网）,套外流量费（元）,外省语音占比,语音通话-时长（分钟）,省际漫游-时长（分钟）,终端品牌,终端品牌类型,当月ARPU,当月MOU,前3月ARPU,前3月MOU,外省流量占比,GPRS总流量（KB）,GPRS-国内漫游-流量（KB）,是否5G网络客户,客户星级标识,是否投诉,其他,医院,地下,山区,电梯,道路,其他.1
1,10.0,6.0,6.0,6.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,5G,,1816.45,是,250.0,1.0,644.0,644.0,苹果,A2412,347.32,644.0,0.0,480.0,1.0,8450801.0,8450801.0,是,银卡,0.0,-1,-1,-1,-1,-1,-1,-1
2,2.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,5G,,0.0,是,0.0,1.0,902.0,902.0,华为,TET-AN00,111.4,902.0,0.0,480.0,1.0,17425910.0,17425910.0,是,银卡,0.0,-1,-1,-1,-1,-1,-1,-1
3,10.0,7.0,7.0,7.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,4G,,0.0,是,0.0,1.0,322.0,322.0,华为,YAL-AL50,48.0,322.0,0.0,413.0,1.0,6215849.0,6215849.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
4,6.0,7.0,7.0,6.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,5G,,0.0,是,0.0,1.0,139.0,139.0,苹果,A2634,49.0,139.0,0.0,301.0,1.0,5370710.0,5370710.0,是,三星,0.0,-1,-1,-1,-1,-1,-1,-1
5,5.0,5.0,4.0,3.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,0.0,0.0,0.0,4G,,0.0,是,0.0,1.0,787.0,787.0,苹果,A2223,138.1,787.0,0.0,1193.0,1.0,3857521.0,3857521.0,否,银卡,0.0,-1,-1,-1,-1,-1,-1,-1
6,7.0,6.0,6.0,4.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,0.0,0.0,0.0,4G,,0.0,是,0.0,1.0,627.0,627.0,苹果,iPhone X A1865,140.09,627.0,0.0,794.0,1.0,31131458.0,31131458.0,否,银卡,0.0,-1,-1,-1,-1,-1,-1,-1
7,8.0,7.0,9.0,9.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,4G,,0.0,是,0.0,1.0,334.0,334.0,苹果,A2223,60.0,334.0,0.0,306.0,1.0,15342037.0,15342037.0,否,二星,0.0,-1,-1,-1,-1,-1,-1,-1
8,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,2.0,0.0,4G,,0.0,是,0.0,1.0,386.0,386.0,华为,HMA-AL00,73.0,386.0,0.0,185.0,1.0,11432042.0,11432042.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
9,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,4G,,0.0,是,0.0,1.0,474.0,474.0,欧珀,PBBM00,80.36,474.0,0.0,277.0,1.0,5017952.0,5017952.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
10,10.0,8.0,8.0,9.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,5G,,0.0,是,0.0,1.0,43.0,43.0,华为,WLZ-AN00,29.0,43.0,0.0,233.0,1.0,950128.0,950128.0,是,准星,0.0,-1,-1,-1,-1,-1,-1,-1
